original_code,normalized_id,city_state
PHL,1,Philadelphia, PA
BED,2,Bedford, MA
BOS,3,Bedford, MA
LGB,4,Long Beach, CA
LAX,5,Long Beach, CA
BID,6,Block Island, RI
WST,7,Block Island, RI
SNA,8,Santa Ana, CA
STT,9,Charlotte Amalie, VI
VIJ,10,Charlotte Amalie, VI
GDV,11,Glendive, MT
SDY,12,Glendive, MT
GGW,13,Glasgow, MT
OLF,14,Glasgow, MT
MTJ,15,Montrose/Delta, CO
GUC,16,Montrose/Delta, CO
STX,17,Christiansted, VI
VQS,18,Christiansted, VI
STL,19,St. Louis, MO
UIN,20,St. Louis, MO
SJU,21,San Juan, PR
PWM,22,Boston, MA
CLE,23,Cleveland, OH
PIT,24,Cleveland, OH
SAN,25,San Diego, CA
CMH,26,Columbus, OH
SBN,27,South Bend, IN
LAN,28,South Bend, IN
COS,29,Colorado Springs, CO
AXA,30,The Valley, Anguilla
RDU,31,Raleigh/Durham, NC
CLT,32,Raleigh/Durham, NC
TYS,33,Knoxville, TN
ATL,34,Knoxville, TN
PHX,35,Phoenix, AZ
YUM,36,Phoenix, AZ
HPN,37,White Plains, NY
MVY,38,White Plains, NY
JFK,39,New York, NY
OKC,40,Oklahoma City, OK
DAL,41,Oklahoma City, OK
BWI,42,Baltimore, MD
ACK,43,Nantucket, MA
SHV,44,Shreveport, LA
IAH,45,Shreveport, LA
NGU,46,Norfolk, VA
SAV,47,Atlanta, GA
ORD,48,Chicago, IL
IAD,49,Washington, DC
MSP,50,Minneapolis, MN
MSN,51,Minneapolis, MN
HAV,52,Havana, Cuba
MIA,53,Havana, Cuba
LAS,54,Las Vegas, NV
NEV,55,Nevis, Saint Kitts and Nevis
BUF,56,Buffalo, NY
GRB,57,Green Bay, WI
DTW,58,Green Bay, WI
STI,59,San Juan, PR
SLC,60,Salt Lake City, UT
BZN,61,Salt Lake City, UT
ADW,62,Camp Springs, MD
PVD,63,Camp Springs, MD
GPT,64,Gulfport/Biloxi, MS
CVG,65,Cincinnati, OH
SMF,66,Los Angeles, CA
EWR,67,Cleveland, OH
OAK,68,Las Vegas, NV
YYZ,69,Cincinnati, OH
NBG,70,Atlanta, GA
IND,71,Indianapolis, IN
TUS,72,Long Beach, CA
MKE,73,Milwaukee, WI
MKC,74,Milwaukee, WI
MCI,75,Kansas City, MO
MSY,76,New Orleans, LA
TPA,77,New Orleans, LA
YUL,78,Montreal, Canada
AEX,79,Alexandria, LA
LIT,80,Little Rock, AR
SAT,81,Little Rock, AR
BTR,82,Baton Rouge, LA
GNV,83,Baton Rouge, LA
YYC,84,Calgary, Canada
PDX,85,Calgary, Canada
BIF,86,Oklahoma City, OK
LGA,87,New York, NY
MEM,88,Memphis, TN
BNA,89,Nashville, TN
MDW,90,Newark, NJ
FOE,91,Atlanta, GA
SCE,92,State College, PA
ELP,93,El Paso, TX
DEN,94,Denver, CO
MCO,95,Dallas, TX
PIE,96,St. Petersburg, FL
PTK,97,St. Petersburg, FL
AZA,98,Phoenix, AZ
AUS,99,Austin, TX
PVU,100,Austin, TX
SFB,101,Sanford, FL
HRL,102,Cincinnati, OH
CUR,103,Willemstad, Curacao
FLL,104,Boston, MA
MEX,105,Mexico City, Mexico
QRO,106,Kansas City, MO
PTP,107,Miami, FL
HOU,108,Los Angeles, CA
BFI,109,Oklahoma City, OK
CPS,110,San Diego, CA
HIF,111,Ogden, UT
POS,112,Port of Spain, Trinidad and Tobago
MUO,113,Detroit, MI
RIV,114,Atlanta, GA
SEA,115,Atlanta, GA
GYE,116,Guayaquil, Ecuador
EDI,117,Edinburgh, United Kingdom
GRK,118,Killeen, TX
NGF,119,Killeen, TX
BRU,120,Philadelphia, PA
NKT,121,New York, NY
PSM,122,Portsmouth, NH
GTB,123,Portsmouth, NH
HOP,124,Genting, Malaysia
TEB,125,Teterboro, NJ
BCT,126,Boca Raton, FL
PBI,127,Boca Raton, FL
ASE,128,Aspen, CO
EGE,129,Aspen, CO
FRG,130,Teterboro, NJ
SRQ,131,St. Petersburg, FL
OPF,132,Miami, FL
TTN,133,Teterboro, NJ
FOK,134,Westhampton, NY
APF,135,Naples, FL
COU,136,St. Louis, MO
RSW,137,West Palm Beach/Palm Beach, FL
VNY,138,Van Nuys, CA
PSP,139,Van Nuys, CA
SUA,140,Naples, FL
ORL,141,Orlando, FL
NAS,142,Nassau, The Bahamas
FXE,143,Nassau, The Bahamas
DET,144,Toronto, Canada
SYR,145,New York, NY
JAX,146,Jacksonville, FL
ROC,147,Teterboro, NJ
BGR,148,Bangor, ME
GSP,149,Nashville, TN
BQK,150,Sarasota/Bradenton, FL
MLB,151,Savannah, GA
YHU,152,Providence, RI
MSV,153,Monticello, NY
BRO,154,Houston, TX
SWF,155,Newburgh/Poughkeepsie, NY
RNO,156,Reno, NV
BKL,157,New York, NY
AGS,158,Boca Raton, FL
LUK,159,Newark, NJ
LEX,160,Lexington, KY
GRR,161,Newark, NJ
GSO,162,Milwaukee, WI
RIC,163,Richmond, VA
PGV,164,Fort Lauderdale, FL
PWK,165,Chicago, IL
DPA,166,Chicago, IL
RST,167,Rochester, MN
MMU,168,Morristown, NJ
SUS,169,Morristown, NJ
DAB,170,Teterboro, NJ
FTW,171,Dallas/Fort Worth, TX
BDA,172,Hamilton, Bermuda
YKF,173,Fort Lauderdale, FL
YOW,174,Melbourne, FL
GFL,175,Miami, FL
XNA,176,Fayetteville, AR
LBB,177,Lubbock, TX
LNK,178,Fort Lauderdale, FL
SJC,179,San Jose, CA
STC,180,St. Cloud, MN
JAC,181,Jackson, WY
APA,182,Denver, CO
GJT,183,Grand Junction, CO
HDN,184,Naples, FL
COE,185,Coeur d'Alene, ID
MZJ,186,Miami, FL
FCA,187,Newark, NJ
SCF,188,Phoenix, AZ
BUR,189,Burbank, CA
MDT,190,Burbank, CA
SBP,191,Newark, NJ
SFO,192,San Francisco, CA
HNL,193,Honolulu, HI
VCV,194,Honolulu, HI
SJO,195,Victorville, CA
ANC,196,Anchorage, AK
ICN,197,Anchorage, AK
GUM,198,Guam, TT
CNF,199,Belo Horizonte, Brazil
HKG,200,Hong Kong, Hong Kong
HKB,201,Healy, AK
FAI,202,Healy, AK
PLN,203,Pellston, MI
OSC,204,Oscoda, MI
YIP,205,Oscoda, MI
CUU,206,Chihuahua, Mexico
AUZ,207,Aurora, IL
FHB,208,West Palm Beach/Palm Beach, FL
MQY,209,Smyrna, TN
NY3,210,Brockport, NY
SLW,211,San Antonio, TX
STP,212,Minneapolis/St. Paul, MN
LRD,213,Laredo, TX
SLP,214,Laredo, TX
AGU,215,Aguascalientes, Mexico
FSM,216,Aurora, IL
CSL,217,Cabo San Lucas, Mexico
DHN,218,Detroit, MI
ICT,219,Detroit, MI
AFW,220,Detroit, MI
TPE,221,Taipei, Taiwan
NRT,222,Tokyo, Japan
DFW,223,Dallas/Fort Worth, TX
CPX,224,Culebra, PR
EIS,225,Road Town, British Virgin Islands
CTS,226,Chicago, IL
SXM,227,Philipsburg, Sint Maarten
YYJ,228,Victoria, Canada
SSI,229,Victoria, Canada
YBG,230,Boston, MA
KEF,231,Keflavik/Reykjavik, Iceland
MRI,232,Anchorage, AK
TYE,233,Anchorage, AK
BVU,234,Anchorage, AK
OME,235,Nome, AK
PUS,236,Busan, South Korea
SPN,237,Saipan, TT
SNN,238,Shannon, Ireland
NUP,239,Nunapitchuk, AK
KUK,240,Nunapitchuk, AK
ATT,241,Atmautluak, AK
WNA,242,Napakiak, AK
BET,243,Napakiak, AK
AKI,244,Akiak, AK
KWT,245,Akiak, AK
KKI,246,Bethel, AK
KWN,247,Quinhagak, AK
EEK,248,Quinhagak, AK
TLT,249,Bethel, AK
WTL,250,Tuntutuliak, AK
KLG,251,Kalskag, AK
CYF,252,Chefornak, AK
OOK,253,Bethel, AK
KOT,254,Bethel, AK
GNU,255,Goodnews Bay, AK
KKH,256,Kongiganak, AK
LBG,257,Teterboro, NJ
BTT,258,Bettles, AK
GAL,259,Galena, AK
PPC,260,Prospect Creek, AK
KYU,261,Koyukuk, AK
A01,262,Fairbanks/Ft. Wainwright, AK
CXF,263,Bettles, AK
RBY,264,Ruby, AK
RMP,265,Fairbanks, AK
WBQ,266,Fairbanks, AK
IRC,267,Fairbanks, AK
FYU,268,Fort Yukon, AK
TAL,269,Galena, AK
BTI,270,Barter Island, AK
ARC,271,Barter Island, AK
LMA,272,Lake Minchumina, AK
BKC,273,Buckland, AK
A26,274,Ivotuk, AK
AKP,275,Anaktuvuk Pass, AK
VIK,276,Kavik River, AK
STG,277,St. George Island, AK
JNU,278,Juneau, AK
EXI,279,Juneau, AK
HNH,280,Juneau, AK
GST,281,Juneau, AK
AGN,282,Hoonah, AK
OQG,283,Juneau, AK
HNS,284,Haines, AK
PEC,285,Pelican, AK
SGY,286,Skagway, AK
SIT,287,Sitka, AK
BNF,288,Sitka, AK
PSG,289,Petersburg, AK
WRG,290,Petersburg, AK
KAE,291,Juneau, AK
PBK,292,Pack Creek, AK
A43,293,Kodiak Island, AK
KOZ,294,Ouzinkie, AK
06A,295,Kodiak Island, AK
ORI,296,Port Lions, AK
KPY,297,Port Bailey, AK
EHR,298,Eagle Harbor, AK
A30,299,Kodiak Island, AK
KKB,300,Kitoi Bay, AK
ONN,301,Kodiak Island, AK
A29,302,Kodiak Island, AK
A70,303,Kodiak Island, AK
A48,304,Kodiak Island, AK
KZB,305,Kodiak Island, AK
A50,306,Big Bay, AK
AOS,307,Amook Bay, AK
KLN,308,Larsen Bay, AK
WQX,309,Kodiak Island, AK
A03,310,Kodiak Island, AK
A04,311,Red Lake, AK
JLA,312,Kodiak Island, AK
A17,313,Kodiak Island, AK
BFB,314,Blue Fox Bay, AK
ALZ,315,Lazy Bay, AK
DGB,316,Danger Bay, AK
01A,317,Afognak Lake, AK
A75,318,Malina Bay, AK
OLH,319,Old Harbor, AK
KMY,320,Old Harbor, AK
LPS,321,Lopez Island, WA
FBS,322,Lopez Island, WA
KEH,323,Kenmore, WA
LKE,324,Kenmore, WA
YWH,325,Friday Harbor, WA
TIW,326,Kenmore, WA
SQV,327,Sequim, WA
OLM,328,Olympia, WA
RSJ,329,Kenmore, WA
WSX,330,Westsound, WA
BLI,331,Bellingham, WA
YVR,332,Kenmore, WA
PUL,333,Kenmore, WA
YAZ,334,Tofino, Canada
ZRH,335,Teterboro, NJ
AET,336,Allakaket, AK
NUL,337,Nulato, AK
INL,338,International Falls, MN
YFB,339,Iqaluit, Canada
YZV,340,West Palm Beach/Palm Beach, FL
YQB,341,San Antonio, TX
YYR,342,Boston, MA
MOT,343,Minot, ND
MFR,344,Minot, ND
YHZ,345,Orlando, FL
DUT,346,Unalaska, AK
ENA,347,Unalaska, AK
OBU,348,Kobuk, AK
RLU,349,Kobuk, AK
MLY,350,Manley Hot Springs, AK
MNT,351,Manley Hot Springs, AK
ENN,352,Nenana, AK
SVS,353,Fairbanks, AK
A18,354,Kantishna, AK
EAA,355,Circle, AK
DCK,356,Dahl Creek, AK
CKX,357,Chicken, AK
HUS,358,Hughes, AK
JZM,359,Hog River, AK
TLJ,360,Tatalina, AK
KAL,361,Kaltag, AK
CIK,362,Fort Yukon, AK
HSL,363,Hughes, AK
KBC,364,Fairbanks, AK
TKJ,365,Tok, AK
SHX,366,Fairbanks, AK
SKW,367,Anchorage, AK
KYK,368,Karluk, AK
SKJ,369,Sitkinak, AK
AKK,370,Sitkinak, AK
KFP,371,False Pass, AK
CDB,372,False Pass, AK
ADQ,373,Karluk, AK
AA8,374,Barter Island, AK
09A,375,Danger Bay, AK
AKN,376,Karluk, AK
EGX,377,Karluk, AK
NNK,378,Karluk, AK
SCC,379,Deadhorse, AK
KCQ,380,Larsen Bay, AK
BRW,381,Barrow, AK
HVN,382,New Haven, CT
NPT,383,New Haven, CT
UMT,384,Umiat, AK
PGM,385,Port Graham, AK
GGT,386,Fort Lauderdale, FL
SML,387,Miami, FL
SAQ,388,San Andros, The Bahamas
LGI,389,Deadman's Cay, The Bahamas
PMP,390,Fort Lauderdale, FL
GOA,391,Teterboro, NJ
NCE,392,Nice, France
CZN,393,Chisana, AK
DLG,394,Dillingham, AK
CLP,395,Dillingham, AK
KGK,396,Koliganek, AK
KLL,397,Koliganek, AK
IGG,398,Igiugig, AK
SMK,399,Kotlik, AK
KWK,400,Kwigillingok, AK
WBB,401,Stebbins, AK
EMK,402,Stebbins, AK
KNK,403,Kokhanok, AK
UNK,404,Unalakleet, AK
PTH,405,King Salmon, AK
KSM,406,St. Mary's, AK
MOU,407,St. Mary's, AK
SXP,408,Sheldon Point, AK
KGX,409,Kotlik, AK
TOG,410,Togiak, AK
NME,411,Bethel, AK
LTN,412,London, United Kingdom
BFS,413,Belfast, United Kingdom
CHS,414,Belfast, United Kingdom
FAB,415,Teterboro, NJ
BRI,416,Los Angeles, CA
FAR,417,Fargo, ND
BQH,418,Teterboro, NJ
SYD,419,Sydney, Australia
CRP,420,Vancouver, Canada
NGD,421,San Juan, PR
ANI,422,Aniak, AK
SLQ,423,Sleetmute, AK
RDV,424,Sleetmute, AK
CHU,425,Aniak, AK
SRV,426,Stony River, AK
CKD,427,Chuathbaluk, AK
ANV,428,Anvik, AK
KPN,429,Kipnuk, AK
HPB,430,Hooper Bay, AK
PTU,431,Platinum, AK
RSH,432,Russian Mission, AK
SKK,433,Unalakleet, AK
HCR,434,Holy Cross, AK
FVQ,435,Donlin Creek Mine, AK
ROP,436,Rota, TT
TIQ,437,Rota, TT
AUK,438,Alakanuk, AK
KTN,439,Ketchikan, AK
WFB,440,Ketchikan, AK
TNK,441,Toksook, AK
PKA,442,Napaskiak, AK
WWT,443,Newtok, AK
1AK,444,Newtok, AK
PQS,445,Pilot Station, AK
CZF,446,Cape Romanzof, AK
SCM,447,Cape Romanzof, AK
MTM,448,Metlakatla, AK
VAK,449,Hooper Bay, AK
KMO,450,Dillingham, AK
VZF,451,Kodiak Island, AK
MLL,452,Russian Mission, AK
EHM,453,Cape Newenham, AK
HYL,454,Hollis, AK
KWP,455,West Point, AK
FLT,456,Shageluk, AK
CGA,457,Ketchikan, AK
ZNC,458,Bethel, AK
KKL,459,Karluk Lake, AK
A65,460,Karluk Portage, AK
KEK,461,Ekwok, AK
MCG,462,McGrath, AK
HSH,463,Las Vegas, NV
TCT,464,Bethel, AK
MRY,465,Monterey, CA
FAT,466,Fresno, CA
MCC,467,Fresno, CA
C01,468,Camarillo, CA
SBA,469,San Francisco, CA
NUQ,470,Van Nuys, CA
LVK,471,Livermore, CA
UT1,472,San Jose, CA
ABQ,473,Albuquerque, NM
